_column	_row	_well	barcodenr	barcodetype_genomic	barcodetype_transcriptomic	cellcount	clone_id	date_sorted	experiment	indexnr	library_type	limsid	plate_id	platenr	shield	tamox_ind	timepoint	tubenr
12	D	D12	84	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
12	E	E12	108	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
12	F	F12	132	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
12	G	G12	156	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
12	H	H12	180	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
12	I	I12	204	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
12	J	J12	228	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
12	K	K12	252	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
12	L	L12	276	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
12	M	M12	300	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
12	N	N12	324	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
12	O	O12	348	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
12	P	P12	372	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
13	A	A13	13	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
13	B	B13	37	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
13	C	C13	61	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
13	D	D13	85	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
13	E	E13	109	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
13	F	F13	133	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
13	G	G13	157	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
13	H	H13	181	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
13	I	I13	205	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
13	J	J13	229	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
13	K	K13	253	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
13	L	L13	277	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
13	M	M13	301	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
13	N	N13	325	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
13	O	O13	349	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
13	P	P13	373	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
14	A	A14	14	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
14	B	B14	38	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
14	C	C14	62	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
14	D	D14	86	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
14	E	E14	110	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
14	F	F14	134	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/1000]	no	4	3
